Mother	okay .
Mother	pick it up .
Mother	what is that right there , huh ?
Mother	can you tell mommy what that is ?
Mother	thank_you .
Mother	can you tell mommy what that is ?
Mother	huh ?
[ANNOTATION]	the mother is talking to her child	Entailment
Megan	pumpkin .
Mother	pumpkin .
Mother	and what's that right there ?
Mother	what's this ?
Mother	fish .
Mother	and what's that ?
Mother	what's this right here , Megan ?
Mother	any other time she'd be all over this book .
Mother	what's this right here .
Mother	Megan , Megan , what's that ?
Mother	what's that ?
Megan	dog !
Mother	and what's the dog say .
Megan	bow wow .
Mother	bow wow .
[ANNOTATION]	megan doesn't know what a dog is	Contradiction
[ANNOTATION]	The next item in the book is a tiger	Neutral
Mother	that's right !
Mother	okay .
Mother	let's see what else we can find in this book .
Mother	what is that little bear doing right there ?
Megan	teeth  .
Mother	he's brushing his teeth , isn't he ?
Mother	what's he doing right here ?
Mother	look Megan .
Mother	come here .
Mother	what's the little bear doing right there ?
[ANNOTATION]	the mother and daughter are reading a book	Entailment
[ANNOTATION]	Bears need to keep their teeth clean	Neutral
Mother	come here .
Mother	Megan !
Mother	Mommy's reading the book by herself .
Mother	come here !
Mother	come here and read the book to mommy .
Mother	Megan come here .
Megan	Mommy .
Mother	bring that to mommy .
Mother	bring that to mommy and let me see what it is .
[ANNOTATION]	megan is one year old	Neutral
[ANNOTATION]	The child is bored of the book	Neutral
Mother	look !
Mother	what this right here ?
[ANNOTATION]	the mother is reading a book to her daughter	Entailment
[ANNOTATION]	The mother has the child with her reading	Neutral
Mother	what is that ?
Mother	huh ?
Mother	what's that right here ?
Mother	what is that ?
Mother	Megan . ah !
Mother	look .
Mother	what is that .
[ANNOTATION]	megan is not answering her mother	Entailment
[ANNOTATION]	The child knows what they are looking at here	Neutral
Mother	what is that , huh ?
Mother	xxx what is that ?
Megan	bee +...
Mother	no , what is that ?
Mother	is that a bike ?
Mother	can you say bike ?
Mother	and what is that right there ?
Mother	what is that .
Megan	choochy [: choo_choo] .
Mother	what is that ?
Megan	choo_choo bah .
Mother	it's a choo_choo .
Mother	is that a choo_choo train ?
Mother	and what is that ?
Megan	horsie .
Mother	horsie ?
Mother	horsie .
Mother	let's see if we can find the animals back here .
Mother	you like the animals , don't you ?
Mother	ah !
Mother	look at this !
Mother	what is . what is this right here ?
Mother	what kind of animal is that ?
Mother	huh ?
Mother	Megan ?
Mother	no no .
Megan	Amye .
Mother	no no .
Mother	that's Amye's .
Mother	that's not to play with .
Mother	come here and show mama what's in this book .
Mother	what is this right here ?
Mother	huh ?
Mother	come here and sit on mama's lap .
Mother	ah !
Mother	look .
Mother	there's the bee .
Mother	what's the bee say ?
Megan	buh@o .
Mother	bzz ?
Mother	huh ?
Megan	bzz .
Mother	is that what the bee says ?
Mother	what is this up here .
Mother	look .
Mother	what is that ?
Mother	Megan +...
Megan	cookie .
Mother	come here .
Mother	Megan .
Mother	tell me what this is .
Mother	huh ?
Mother	is that a plane ?
Mother	you gonna sit and look at it now ?
Mother	is that the plane ?
Mother	huh ?
[ANNOTATION]	Someone sees something that looks like a plane to them.	Entailment
Mother	let's go back over here .
Mother	what is that right there .
Mother	huh ?
Megan	bee xxx .
Mother	no , what is that right there .
Megan	bee .
Mother	huh ?
Mother	what's the rooster say ?
Megan	dope a doo .
Mother	cock a doddle@wp doo !
Mother	that's right .
Mother	what is this over here ?
Mother	is that a duck ?
Mother	tell mommy what the duck says .
Mother	Megan .
[ANNOTATION]	The duck laid an egg this year.	Neutral
Mother	here ya go .
Mother	okay .
Mother	let's look at a different book .
Mother	let's look at this book let's look at this book .
Mother	what is that ?
Mother	what kinda animal is that ?
Megan	kitty  .
Mother	that's a kitty .
[ANNOTATION]	Two people know how to say kitty	Entailment
Mother	what's the kitty cat say ?
Mother	hm: ?
Mother	what are you eating ?
Mother	what is that ?
Mother	what are you eating , Megan ?
Megan	eat .
Mother	what are you eating ?
[ANNOTATION]	Someone is eating something.	Entailment
Megan	xxx cookie oh .
Mother	cookie ?
Mother	that's right .
Mother	and who is this right here ?
Megan	Dumpty .
Mother	that's Humpty Dumpty , isn't it ?
[ANNOTATION]	Two people know exactly what cookie is.	Neutral
Megan	fall .
Mother	yeh , he fell off the wall , didn't he ?
Megan	fall ?
Mother	what did he say when he hit the ground ?
Mother	he say boom !
Mother	did he say boom ?
Megan	boomah@o !
Mother	boom .
[ANNOTATION]	No one fell.	Contradiction
Mother	that's right .
Megan	boomah@o .
Mother	and who is that ?
Mother	huh ?
Mother	is that the little lamb ?
Mother	can you say lamb ?
Megan	ah .
Mother	lamb ?
Mother	what's the little lamb say ?
Mother	baa ?
Mother	what is this right here ?
Megan	tick  tock .
Mother	tick tock .
Mother	say tick tock goes the clock .
Megan	tick tock .
Mother	tick tock ?
Mother	that's right .
Megan	go a .
Mother	and who is that ?
Mother	is that the old woman in the shoe ?
Mother	see the shoe ?
Mother	say shoe ?
Megan	shoe .
Mother	shoe ?
Mother	that's right !
Mother	it's a big old shoe , isn't it .
Mother	well let's see what else we can find in this book .
Mother	we have lots_of different things in this book .
Mother	what is that ?
Megan	choo_choo !
Mother	choo_choo !
Mother	that's right !
Mother	that's a choo_choo train !
Mother	&-uh !
Mother	look at all these different animals , Megan .
Mother	do you see a monkey in there ?
