Mother	a goldfish ?
Mother	okay .
Mother	show me how to do goldfish .
Beth	you know how to .
Mother	alright .
Beth	you can't look at it .
Mother	mhm .
Mother	you gotta tell me what you're doing , though .
Mother	what are you doing ?
Mother	okay .
Mother	I think we've got a little too many cards for this game , cause we
Mother	okay , you tell me what the cards are , see if we can match them
Mother	how about doing that ?
Beth	okay .
Mother	let's match them up .
Mother	alright , but let's match up the cards first .
Mother	and I'll see if I can match yours .
Mother	you ever use cards in school ?
Beth	yes .
Mother	you do ?
Beth	yeah .
Mother	how do you use them at school ?
Beth	like that .
Mother	just to play with ?
Beth	yeh .
Mother	you better , &-uh , look for the birds today , too .
Mother	what kind of birds do you think we oughta look for ?
Beth	I don't know .
Mother	we aren't having much luck , are we , finding any birds around
Beth	&-um &-um .
Mother	okay , you wanna read your book ?
Mother	alright .
Beth	&-uh huh .
Mother	read your book .
Mother	alright .
Mother	read it to mommy and show me the pictures afterward .
Beth	the story of Babaar , the little elephant .
Mother	&-uh huh .
Mother	okay .
Beth	in the great forest a little elephant is born .
Beth	his name is Babaar .
Beth	his mother loves him very much .
Beth	she rocked him to sleep with her trunk .
Mother	right . while +...
Beth	while , ah: +...
Mother	no .
Beth	sings .
Mother	singing , softly .
Beth	softly to him .
Beth	Babaar has growing bigger .
Beth	he now plays with the other little elephants .
Beth	he is a +...
Mother	very .
Beth	very good little elephant .
Beth	see him digging in the sand with his shell ?
Mother	shell , okay .
Beth	Babar is riding happy on his mother's back .
Beth	xxx .
Mother	can't read that part ?
Mother	hidden +...
Beth	hidden behind some bushes .
Mother	xxx lots_of noise in tape .
Beth	he +...
Mother	shoots +...
Beth	shoots at them .
Mother	right .
[ANNOTATION]	Beth very good little elephant	Contradiction
Beth	the hunter has killed Babar's mother .
Beth	the . the ?
Mother	mhm .
Beth	mother .
Mother	&-uh &-uh , not mother .
Mother	look at it again .
Beth	monkeys .
Mother	mhm .
Beth	hide , and birds fly away .
Beth	Babar cries .
Beth	the hunter runs up to catch Babar .
Mother	&-uh &-uh , you left out a word !
Mother	you skipped it because you don't know it .
[ANNOTATION]	Beth the hunter has killed Babar's mother	Neutral
Mother	what is it ?
Mother	now look at the word , poor +...
Beth	poor Babar .
Mother	that's right .
Beth	Babar runs away .
Mother	right , because +...
Beth	be . is +...
Mother	because he !
Beth	is afraid of the hunter .
Beth	after several days , very tired .
Mother	indeed .
[ANNOTATION]	Beth poor Babar	Contradiction
Beth	indeed .
Beth	he +...
Mother	look at the word .
Beth	comes to a town .
Mother	oh !
[ANNOTATION]	The mother looks at the word	Entailment
Beth	he +...
Mother	go on . go ahead , come on . hardly +...
Beth	hardly +...
Mother	knows +...
Beth	knows +...
[ANNOTATION]	Beth is afraid  several days , very tired	Contradiction
Mother	what +...
Beth	what , to +...
Mother	look at the word .
Mother	don't look at the girls , look at the word .
Mother	make +...
Beth	make +...
Mother	come on , of +...
Beth	of +...
Mother	it +...
Beth	it +...
Mother	because +...
Beth	because he +...
Mother	no , this +...
Beth	this is the +...
Mother	next word . first +...
Beth	first +...
Mother	time +...
Beth	time +...
Mother	look at the word honey .
Mother	that +...
Beth	that he +...
Mother	has +...
Beth	has +...
Mother	what's that word ?
Beth	I don't know .
Mother	seen +...
Beth	seen +...
Mother	so +...
Beth	so , much +...
Mother	many +...
Beth	many +...
Mother	houses +...
Beth	houses !
Mother	okay , you wanna talk about something else now , huh ?
Mother	what do we wanna talk about ?
Mother	can you tell me a little bit about school ?
Mother	and what you did last week ?
Mother	no ?
Mother	you wanna play something ?
Mother	okay .
Mother	look in the box and see what there is there .
Mother	tell me about some of the things that are in the box .
Beth	okay .
Mother	was that yours , one time ?
Mother	you do some of the talking !
Beth	that's a rabbit .
Mother	that's a rabbit ?
Beth	&-um hm: .
Mother	and it useta be yours , wasn't it ?
Beth	&-um hm: .
Mother	I think this useta be yours , too .
Beth	this is a snake .
Mother	you useta play with that when you were Carrie and David's age .
Beth	no !
Mother	I'll let you have it .
Beth	wanna show you at it does .
Mother	okay .
Beth	0 .
Mother	I think you hafta get it started before you get it .
Beth	no .
Mother	no ?
Beth	you do .
Beth	that's a stocking .
Mother	yeh , that's your Christmas stocking isn't it ?
Mother	okay .
Mother	I sure hope you're going to put all this back afterwards .
Beth	I am .
Mother	okay , alright .
Beth	this is my purse .
Mother	alright .
Beth	this is yours .
Mother	well you can wear it if you wanna .
Beth	it's a hat .
Mother	mhm .
Beth	Carrie's elephant .
Mother	xxx .
Beth	Carrie's ladybug .
Mother	ladybug xxx there's nothing in it right now is there ?
Beth	mother purse , rubber pants .
Mother	that's for your doll .
Beth	mhm xxx and some shapes .
Beth	a dog .
Mother	most of those aren't yours , are they ?
Beth	another dog .
Beth	a shoestring , a shoe .
Mother	here's something we can play with .
Mother	come on back down .
Mother	let's catch this .
Beth	okay .
