A	erm who won sexiest
B	yeah
A	and he dressed as erm Miss Piggy
A	and he is er six foot seven
B	awesome
A	erm
A	and the
B	mm
B	and what did he
A	oh it was horrible it was creepy he went as a cow
B	is that because his girl well his
A	yeah cos we were
A	he was kind of like weirdly avoiding me all night erm
A	obviously
B	make
A	erm I dunno well
A	well no he didn't invite me
B	oh she did
A	I was about to buy yeah she invited me
B	well obviously then she can't reject you just because
A	yeah yeah but erm then we were sitting outside and I was like oh like like in the during the week he was messaging me like all the way up until the party and I was just like well you can't really be
B	mm
A	and literally the moment I left
A	all
B	all night
A	evening like
B	that is a bit creepy
A	I was like I've proved my point I was hotter than the girl you're sleeping with high five me I had a better looking man on my arm high five me and boom you broke up
A	I know I was like I feel mean
B	I bet at that point I was like I've I've I've lost I've lost the point of why you were saying lol
B	also there is a place near here on the map called
A	oh is there? I bet er I wonder if that's full of
A	I wonder if that's full of lolz
A	but how are you? how is life with you?
B	yeah it's alright it's just been really like overwhelming and non stop at the moment
A	yeah
B	so they've changed my job so I'm looking after
A	okay
B	history and geography now
A	yeah
B	but that's because they want my strategic brain on things
A	you do have a good strategic brain
B	to say that that's kind of what they'll use to get me promoted next year
A	yeah
B	cos obviously I had to tell them about the interview because there was a travel ban
A	yeah
B	and me having to say I need to be in
A	oh so you cos obviously for any other job you would've had to pay yourself but
B	because I was down in
A	ah
B	so I stayed and to be honest I was doing work
B	for meetings like
A	yeah
B	and in the end it turns out that you know regardless of whether I get the job or not I'm still working in geography I'm working on the
A	yeah
B	I'll work with whoever gets the job so actually all the stuff that I've done is research
A	yeah
B	so and then I did say to them I you know do you want me to take the time off? I think I need to take half a day a day or whatever I don't mind
A	yeah they shouldn't though should they?
B	but they didn't say anything about it but like they were
A	oh yeah
B	so it was the person who's kind of not my manager but the manager above that
A	yeah
A	oh right
B	it's all going down
A	all going down
B	erm it's all going down but
A	yeah
B	cos that's what they told me but it's like seeing er it's it's seeing the strategy and the campaign through
A	yeah
B	and it's not the
A	ah okay
B	so it's kind of like well that
A	yeah
A	yeah course yeah
B	so yeah but I talked to
A	yeah
B	I remember thinking that when you you know when you
A	I think loads of people have said that about you
B	yeah quite a lot well everybody like obviously I wasn't shouting it from the rooftops
A	no but
