A	if you like
B	not fussed? We will see how it goes
A	ah so revealing my deepest darkest secrets
A	would be um a gamble
A	hm
B	I've been watching too much Friends
A	yeah
B	between Friends and Magnum
A	that's probably not much healthier
A	yes
B	well
A	of course
B	er of course
A	of course
B	well he actually fell in love with her rather than just being like hm she's quite hot
B	um it's kind of
A	are they identical twins?
B	they're identical twins
A	oh dear
B	um
A	wow
B	yeah
A	normally it's just driving around in a fancy car
B	mm
A	joking about Higgins' Britishness
B	exactly
A	hm
B	still haven't watched that
A	mm
B	is it out on DVD?
A	I'm sure it is
A	mm
B	not just you
A	mm
B	half an hour everything happens type thing
A	yeah
B	mm
A	everything happens
B	like Brideshead
A	yeah
B	yeah
A	and then about ten minutes before the end of the final episode of the second series you think oh
B	yeah
A	they're not gonna be making any more series
B	Cos it's gotta end
A	but no
B	mm
A	actually there might be more series
B	oh
A	but um yeah
B	mm
A	yeah
B	er it's it's it's always good if it's actually had an effect on you rather than being like oh it's okay
A	mm
B	which is a tendency with a lot of
A	well
B	well
A	you can
A	ever think about it ever again but
B	yeah
A	yeah
B	have you seen Let Me In?
A	and it's called Let Me In?
B	um um yes it's it's a it's an American remake on Let Me In it's an American remake of the Swedish film which has the title um Let The Right One In
A	oh right
B	which is
A	mm
B	the basic premise being that a vampire can't enter your house unless you invite them in
A	which I know because I watched one episode of Being Human ever
B	I haven't seen that
B	bBC3 isn't it? Yeah
A	it wasn't bad with one er from that one episode
B	mm
A	but er I'm not gonna get into it
A	anyway
B	mm
A	hm
B	no it's
A	another one
B	I won't spoil it
A	right
B	it's a
A	film
B	film rather than
A	film
B	yeah but it's um
A	okay
B	it's er apparently it's an almost if you er well I've we I've only seen the American one
A	oh that's good
B	so
A	american remakes
A	mm
B	slash Peter
A	oh yeah
B	english people won't either
A	there's no problem with subtitles
B	mm
A	I totally
B	I don't get the
A	I totally forgot that I was reading subtitles when I saw Crouching Tiger Hidden Dragon
B	I think
A	you notice it for the first
B	yeah
A	thirty seconds
B	mm
A	you just take it in
B	yeah
A	as speech
B	exactly
A	mm
B	I think there's associations of work
A	depends how easily you can read
